arxiv_id_clean,upvotes,log_upvotes,citation_count,log_citations,influential_citations,reference_count,subfield,release_month,release_year,age_months,max_hindex,last_author_hindex,author_max_appear,has_github,n_authors,n_trend_days,first_trend_date,title_n_words,title_has_colon,abstract_n_chars,num_comments,github_stars,primary_category,kw_llm,kw_agent,kw_diffusion,kw_reasoning,kw_benchmark,kw_survey,kw_efficient,kw_multimodal,kw_rl,kw_scaling,published_v1,gap_days_v1,gap_days_rawpub,v1_source,first_author_papercount_cur2026,last_author_papercount_cur2026,max_papercount_cur2026,first_author_papercount_cur2026_w99,last_author_papercount_cur2026_w99,max_papercount_cur2026_w99,prestige_resolved,anchor_date_used,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes,subfield_kw,subfield_kw_source,first_author_prior_papers_true,last_author_prior_papers_true,max_prior_papers_true,max_years_active,tierB_resolved,first_author_prior_papers_true_w99,last_author_prior_papers_true_w99,max_prior_papers_true_w99,log1p_max_prior_papers_true,dow
2305.03111,12,2.5649493574615367,953.0,6.860663671448287,223.0,71.0,Benchmark/Eval,2023-05,2023,37.220762155059134,49.0,21.0,91,1,16.0,1,2023-05-07,16,0,1648,1,167.0,,1,0,0,0,0,0,0,0,0,0,,,2.206608796296296,missing,29.0,51.0,51.0,29.0,51.0,51.0,True,2023-05-04,2023-05-07,7,2.772588722239781,6,0,2.70805020110221,12,Benchmark/Eval,ai_keywords,19.0,19.0,19.0,15.0,True,19.0,19.0,19.0,2.995732273553991,Sunday
2305.03210,1,0.6931471805599453,108.0,4.6913478822291435,1.0,70.0,LLM-core,2023-05,2023,37.220762155059134,68.0,68.0,3,0,6.0,1,2023-05-07,7,1,994,2,0.0,,0,0,0,0,0,0,0,0,0,0,,,2.0091550925925925,missing,6.0,188.0,188.0,6.0,188.0,188.0,True,2023-05-04,2023-05-07,7,3.295836866004329,6,0,2.995732273553991,1,LLM-core,ai_keywords,1.0,181.0,181.0,43.0,True,1.0,181.0,181.0,5.204006687076795,Sunday
2305.03286,1,0.6931471805599453,50.0,3.9318256327243257,4.0,84.0,Reasoning/RL,2023-05,2023,37.187910643889616,27.0,23.0,2,1,4.0,1,2023-05-08,6,0,1414,0,178.0,,0,0,0,0,0,0,0,0,0,0,,,2.7898032407407407,missing,18.0,58.0,58.0,18.0,58.0,58.0,True,2023-05-05,2023-05-08,8,2.772588722239781,7,0,2.772588722239781,1,Reasoning/RL,ai_keywords,15.0,54.0,54.0,15.0,True,15.0,54.0,54.0,4.007333185232471,Monday
2305.03509,1,0.6931471805599453,34.0,3.5553480614894135,5.0,51.0,Vision/Image-Gen,2023-05,2023,37.220762155059134,49.0,49.0,3,1,10.0,1,2023-05-07,8,1,1096,1,475.0,,0,0,1,0,0,0,0,0,0,0,,,2.323113425925926,missing,18.0,271.0,271.0,18.0,271.0,271.0,True,2023-05-04,2023-05-07,7,3.295836866004329,6,0,3.295836866004329,1,Vision/Image-Gen,ai_keywords,6.0,220.0,220.0,25.0,True,6.0,220.0,220.0,5.3981627015177525,Sunday
2305.03514,1,0.6931471805599453,529.0,6.272877006546167,18.0,309.0,Benchmark/Eval,2023-04,2023,37.94349540078843,34.0,34.0,23,1,6.0,1,2023-05-07,8,0,1279,0,26.0,,0,0,0,0,0,0,0,0,0,0,,,24.268425925925925,missing,29.0,78.0,78.0,29.0,78.0,78.0,True,2023-04-12,2023-05-07,7,3.295836866004329,6,0,2.70805020110221,1,Benchmark/Eval,ai_keywords,10.0,60.0,60.0,3.0,True,10.0,60.0,60.0,4.110873864173311,Sunday
2305.03668,1,0.6931471805599453,20.0,3.044522437723423,3.0,50.0,Multimodal,2023-05,2023,37.187910643889616,83.0,16.0,7,1,8.0,1,2023-05-08,10,0,1046,4,1108.0,,0,0,0,0,0,0,0,1,0,0,,,2.306886574074074,missing,12.0,21.0,21.0,12.0,21.0,21.0,True,2023-05-05,2023-05-08,8,2.772588722239781,7,0,2.1972245773362196,1,Multimodal,ai_keywords,8.0,18.0,18.0,5.0,True,8.0,18.0,18.0,2.9444389791664403,Monday
2305.03689,5,1.791759469228055,67.0,4.219507705176107,5.0,64.0,Multimodal,2023-05,2023,37.187910643889616,83.0,83.0,39,1,6.0,1,2023-05-08,12,1,1274,1,25.0,,0,0,0,0,0,0,0,0,0,0,,,2.2914814814814815,missing,23.0,243.0,243.0,23.0,243.0,243.0,True,2023-05-05,2023-05-08,8,2.4849066497880004,7,0,2.1972245773362196,5,Multimodal,ai_keywords,17.0,234.0,234.0,24.0,True,17.0,234.0,234.0,5.459585514144159,Monday
2305.03695,5,1.791759469228055,67.0,4.219507705176107,15.0,75.0,Vision-Perception,2023-05,2023,37.187910643889616,115.0,83.0,67,1,6.0,1,2023-05-07,9,1,1114,0,17.0,,0,0,0,0,0,0,0,0,0,0,,,1.2808796296296296,missing,24.0,195.0,195.0,24.0,195.0,195.0,True,2023-05-05,2023-05-07,7,3.1354942159291497,6,0,3.1354942159291497,5,Vision-Perception,ai_keywords,8.0,166.0,166.0,16.0,True,8.0,166.0,166.0,5.117993812416755,Sunday
2305.03713,1,0.6931471805599453,15.0,2.772588722239781,7.0,114.0,Unknown,2023-05,2023,37.187910643889616,48.0,27.0,3,0,5.0,1,2023-05-08,9,0,1216,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,2.253773148148148,missing,14.0,59.0,59.0,14.0,59.0,59.0,True,2023-05-05,2023-05-08,8,2.772588722239781,7,0,2.772588722239781,1,Vision-Perception,title_summary,8.0,49.0,49.0,19.0,True,8.0,49.0,49.0,3.912023005428146,Monday
2305.03719,0,0.0,4.0,1.6094379124341005,0.0,17.0,Unknown,2023-05,2023,37.220762155059134,28.0,28.0,0,0,2.0,1,2023-05-07,11,0,1592,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,2.854780092592593,missing,72.0,127.0,127.0,72.0,127.0,127.0,True,2023-05-04,2023-05-07,7,3.332204510175204,6,0,3.332204510175204,0,Vision-Perception,title_summary,55.0,123.0,123.0,23.0,True,55.0,123.0,123.0,4.820281565605037,Sunday
2305.03726,7,2.0794415416798357,684.0,6.529418838262226,66.0,109.0,LLM-core,2023-05,2023,37.187910643889616,24.0,20.0,118,1,6.0,1,2023-05-07,8,1,1147,3,3407.0,,0,0,0,0,0,0,0,0,0,0,,,1.250162037037037,missing,15.0,26.0,26.0,15.0,26.0,26.0,True,2023-05-05,2023-05-07,7,3.044522437723423,6,0,2.995732273553991,7,LLM-core,ai_keywords,1.0,12.0,12.0,4.0,True,1.0,12.0,12.0,2.5649493574615367,Sunday
2305.03937,2,1.0986122886681098,80.0,4.394449154672439,10.0,41.0,Efficiency/Systems,2023-05,2023,37.155059132720105,55.0,21.0,12,1,7.0,1,2023-05-09,9,1,1009,0,56.0,,0,0,0,0,0,0,0,0,0,0,,,2.767199074074074,missing,9.0,56.0,56.0,9.0,56.0,56.0,True,2023-05-06,2023-05-09,12,3.4657359027997265,11,0,3.4011973816621555,2,Efficiency/Systems,ai_keywords,5.0,16.0,16.0,8.0,True,5.0,16.0,16.0,2.833213344056216,Tuesday
2305.03981,1,0.6931471805599453,1.0,0.6931471805599453,0.0,33.0,LLM-core,2023-05,2023,37.155059132720105,105.0,5.0,69,0,9.0,1,2023-05-09,8,0,1564,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,2.6234953703703705,missing,16.0,10.0,16.0,16.0,10.0,16.0,True,2023-05-06,2023-05-09,12,3.49650756146648,11,0,3.258096538021482,1,LLM-core,ai_keywords,4.0,8.0,8.0,2.0,True,4.0,8.0,8.0,2.1972245773362196,Tuesday
2305.04091,3,1.3862943611198906,738.0,6.6052979209482015,48.0,53.0,Reasoning/RL,2023-05,2023,37.155059132720105,25.0,8.0,21,1,7.0,1,2023-05-09,10,1,1562,1,731.0,,0,0,0,1,0,0,0,0,0,0,,,2.3092939814814817,missing,25.0,12.0,25.0,25.0,12.0,25.0,True,2023-05-06,2023-05-09,12,3.4339872044851463,11,0,3.4011973816621555,3,Reasoning/RL,ai_keywords,20.0,2.0,20.0,5.0,True,20.0,2.0,20.0,3.044522437723423,Tuesday
2305.04160,2,1.0986122886681098,160.0,5.081404364984463,18.0,62.0,Multimodal,2023-05,2023,37.12220762155059,28.0,28.0,10,1,7.0,1,2023-05-08,12,1,1744,7,318.0,,1,0,0,0,0,0,0,0,0,0,,,0.8988194444444444,missing,22.0,202.0,202.0,22.0,202.0,202.0,True,2023-05-07,2023-05-08,8,2.70805020110221,7,0,2.1972245773362196,2,Multimodal,ai_keywords,13.0,174.0,174.0,23.0,True,13.0,174.0,174.0,5.1647859739235145,Monday
2305.04241,1,0.6931471805599453,11.0,2.4849066497880004,4.0,45.0,Efficiency/Systems,2023-05,2023,37.12220762155059,32.0,6.0,4,0,7.0,1,2023-05-09,12,1,1379,1,0.0,,0,0,0,0,0,0,0,0,0,1,,,1.5609027777777778,missing,11.0,9.0,11.0,11.0,9.0,11.0,True,2023-05-07,2023-05-09,12,3.49650756146648,11,0,3.4011973816621555,1,Efficiency/Systems,ai_keywords,6.0,8.0,8.0,6.0,True,6.0,8.0,8.0,2.1972245773362196,Tuesday
2305.04268,1,0.6931471805599453,6.0,1.9459101490553132,0.0,70.0,Vision/Image-Gen,2023-05,2023,37.12220762155059,7.0,7.0,10,1,5.0,1,2023-05-09,4,0,1260,0,171.0,,0,0,0,0,0,0,0,0,0,0,,,1.450613425925926,missing,8.0,17.0,17.0,8.0,17.0,17.0,True,2023-05-07,2023-05-09,12,3.49650756146648,11,0,3.332204510175204,1,Vision/Image-Gen,ai_keywords,2.0,3.0,3.0,6.0,True,2.0,3.0,3.0,1.3862943611198906,Tuesday
2305.04388,1,0.6931471805599453,1203.0,7.093404625868766,65.0,75.0,Reasoning/RL,2023-05,2023,37.12220762155059,27.0,24.0,13,1,4.0,1,2023-05-09,13,1,1396,0,56.0,,0,0,0,0,0,0,0,0,0,0,,,1.052488425925926,missing,8.0,53.0,53.0,8.0,53.0,53.0,True,2023-05-07,2023-05-09,12,3.49650756146648,11,0,3.4011973816621555,1,Reasoning/RL,ai_keywords,2.0,44.0,44.0,22.0,True,2.0,44.0,44.0,3.8066624897703196,Tuesday
