arxiv_id_clean,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes
2503.18013,2025-03-25,39,6.478509642208569,38,0,6.091309882077698,20
2503.18018,2025-03-25,39,6.498282149476434,38,0,6.481577129276431,7
2503.18033,2025-03-25,39,6.46302945692067,38,0,6.091309882077698,30
2503.18071,2025-03-25,39,6.504288173536645,38,0,6.478509642208569,3
2503.18102,2025-03-25,39,6.470799503782602,38,0,6.470799503782602,25
2503.18352,2025-03-25,39,6.498282149476434,38,0,6.386879319362645,7
2503.18406,2025-03-25,39,6.504288173536645,38,0,6.386879319362645,3
2503.18470,2025-03-25,39,6.504288173536645,38,0,6.478509642208569,3
2503.18476,2025-03-25,39,6.508769136971682,38,0,6.478509642208569,0
2503.18494,2025-03-25,39,6.505784060128229,38,0,6.505784060128229,2
2503.18559,2025-03-25,39,6.501289670540389,38,0,6.466144724237619,5
2503.18674,2025-03-25,39,6.507277712385012,38,0,6.386879319362645,1
2503.18769,2025-03-25,39,6.492239835020471,38,0,6.481577129276431,11
2503.18813,2025-03-25,39,6.470799503782602,38,0,6.470799503782602,25
2503.18866,2025-03-25,39,6.489204931325317,38,0,6.447305862541213,13
2503.18878,2025-03-25,39,6.309918278226516,38,0,6.267200548541362,121
2503.18886,2025-03-25,39,6.472346294500901,38,0,6.386879319362645,24
2503.18892,2025-03-25,39,6.461468176353717,38,0,6.429719478039138,31
2503.18908,2025-03-25,39,6.478509642208569,38,0,6.429719478039138,20
2503.18923,2025-03-25,39,6.48768401848461,38,0,6.478509642208569,14
2503.18940,2025-03-25,39,6.490723534502507,38,0,6.386879319362645,12
2503.18942,2025-03-25,39,6.364750756851911,38,0,6.091309882077698,90
2503.18945,2025-03-25,39,6.466144724237619,38,0,6.091309882077698,28
2503.18948,2025-03-25,39,6.486160788944089,38,0,6.386879319362645,15
2503.04919,2025-03-26,34,6.045005314036012,33,0,5.616771097666572,8
2503.11849,2025-03-26,34,6.052089168924417,33,0,5.616771097666572,5
2503.13964,2025-03-26,34,6.016157159698354,33,0,6.016157159698354,20
2503.14905,2025-03-26,34,6.016157159698354,33,0,5.713732805509369,20
2503.15667,2025-03-26,34,6.045005314036012,33,0,5.981414211254481,8
2503.16776,2025-03-26,34,6.056784013228625,33,0,5.616771097666572,3
2503.16965,2025-03-26,34,6.054439346269371,33,0,5.616771097666572,4
2503.17237,2025-03-26,34,6.054439346269371,33,0,6.0330862217988015,4
2503.17361,2025-03-26,34,6.052089168924417,33,0,6.052089168924417,5
2503.17973,2025-03-26,34,6.045005314036012,33,0,6.045005314036012,8
2503.17982,2025-03-26,34,6.063785208687608,33,0,6.0330862217988015,0
2503.18446,2025-03-26,34,6.035481432524756,33,0,5.981414211254481,12
2503.18673,2025-03-26,34,6.056784013228625,33,0,6.0330862217988015,3
2503.18712,2025-03-26,34,6.056784013228625,33,0,5.616771097666572,3
2503.18783,2025-03-26,34,6.059123195581797,33,0,6.0330862217988015,2
2503.18893,2025-03-26,34,6.052089168924417,33,0,6.052089168924417,5
2503.18931,2025-03-26,34,5.988961416889864,33,0,5.616771097666572,31
2503.19041,2025-03-26,34,6.052089168924417,33,0,6.035481432524756,5
2503.19065,2025-03-26,34,6.037870919922137,33,0,5.616771097666572,11
2503.19123,2025-03-26,34,6.059123195581797,33,0,6.035481432524756,2
2503.19207,2025-03-26,34,6.054439346269371,33,0,6.0330862217988015,4
2503.19325,2025-03-26,34,5.877735781779639,33,0,5.713732805509369,73
2503.19355,2025-03-26,34,6.059123195581797,33,0,5.616771097666572,2
2503.19356,2025-03-26,34,6.059123195581797,33,0,6.059123195581797,2
2503.19385,2025-03-26,34,5.981414211254481,33,0,5.713732805509369,34
2503.19470,2025-03-26,34,6.018593214496234,33,0,6.018593214496234,19
2503.19622,2025-03-26,34,5.988961416889864,33,0,5.616771097666572,31
2503.19777,2025-03-26,34,6.061456918928017,33,0,6.035481432524756,1
2503.19855,2025-03-26,34,5.993961427306569,33,0,5.993961427306569,29
2503.19881,2025-03-26,34,6.049733455231958,33,0,5.981414211254481,6
2503.19903,2025-03-26,34,5.961005339623274,33,0,5.616771097666572,42
2503.19907,2025-03-26,34,6.045005314036012,33,0,5.981414211254481,8
2503.19910,2025-03-26,34,6.028278520230698,33,0,5.616771097666572,15
2503.20110,2025-03-26,34,6.054439346269371,33,0,6.035481432524756,4
