arxiv_id_clean,max_appear_total,max_appear_prior
2310.16764,4,0
2310.15008,22,4
2310.16795,14,1
2310.16818,35,3
2310.16825,9,1
2310.16656,15,4
2310.16832,47,4
2310.16534,14,3
2310.17157,47,5
2310.17022,8,2
2310.17631,23,2
2310.17075,2,1
2310.18168,4,1
2310.17722,7,2
2310.17880,11,1
2310.17750,12,3
2310.17994,39,9
2310.17752,39,6
2310.17796,113,15
2310.18313,24,5
2310.17680,2,1
2310.17784,27,1
2310.19061,43,3
2310.19341,31,2
2310.19415,23,1
2310.18628,19,3
2310.19019,9,2
2310.19773,39,7
2310.19102,6,0
2310.19512,81,13
2310.18356,6,0
2310.19784,81,13
2310.20707,31,7
2310.20499,54,6
2311.00176,38,3
2310.19956,5,3
2310.20700,118,16
2310.20092,5,0
2310.20689,23,4
2310.20216,0,0
2310.20587,13,2
2310.19909,25,6
2310.20550,22,3
2310.20624,0,0
2311.00430,6,1
2311.00571,45,10
2311.00613,5,1
2311.00618,24,2
2311.00059,67,7
2311.00522,5,0
2311.00272,17,1
2311.00257,11,0
2311.00047,15,1
2311.00899,22,8
2311.00945,24,3
2311.00895,45,5
2311.01455,25,7
2311.01462,13,6
2311.01282,45,2
2311.01767,9,1
2311.01615,12,3
2311.02077,39,4
2311.02382,14,3
2311.02805,67,7
2311.02848,8,2
2311.02772,6,2
2311.03354,25,8
2311.02849,22,3
2311.03226,6,2
2311.02303,33,5
2311.02542,108,5
2311.02103,20,1
2311.03301,10,1
2311.03079,40,5
2311.03285,31,4
2311.04145,78,2
2311.02462,10,3
2311.03356,29,2
2311.02262,45,11
2311.04212,12,1
2311.03739,0,0
2311.03629,6,2
2311.04124,2,0
2311.03736,9,4
2311.04254,29,4
2311.03517,39,10
2311.04257,91,8
2311.04219,118,16
2311.04235,8,1
2311.04400,43,3
2311.04589,45,3
2311.04287,39,11
2311.04498,19,1
2311.04391,28,5
2311.04901,25,9
2311.05332,40,3
2311.05348,26,4
2311.04931,1,0
2311.05437,68,12
2311.05556,8,1
2311.04934,1,1
2311.05908,10,3
2311.05707,7,1
2311.05770,14,3
2311.05884,6,2
2311.05698,5,3
2311.05772,54,4
2311.06158,23,5
2311.06242,7,2
2311.05661,1,0
2311.05640,37,2
2311.05657,67,7
2311.06214,43,4
2311.05997,19,1
2311.06243,15,5
2311.07587,10,5
2311.06753,6,5
2311.06495,29,5
2311.06697,5,1
2311.07361,0,0
2311.07463,3,1
2311.07562,45,13
2311.06720,12,3
2311.06430,24,5
2311.07574,22,1
2311.06783,17,0
2311.07446,18,1
2311.06772,33,2
2311.07069,7,2
2311.07575,113,17
2311.07689,16,4
2311.07919,78,4
2311.07961,38,8
2311.08105,6,1
2311.08263,13,0
2311.07911,16,9
2311.07989,54,7
2311.08401,25,8
2311.07885,16,7
2311.08403,38,3
2311.07590,1,1
2311.09180,3,1
2311.08734,5,2
2311.08877,28,10
2311.09204,8,1
2311.08552,5,1
2311.09179,11,3
2311.09217,43,5
2311.08692,78,5
2311.09213,1,0
2311.08667,2,0
2311.09221,15,7
2311.08581,14,2
2311.08469,67,8
2311.09227,3,2
2311.10090,4,0
2311.09578,12,0
2311.09835,45,5
2311.09277,33,4
2311.09257,28,2
2311.10093,22,4
2311.10091,28,6
2311.10122,28,1
2311.10709,7,2
2311.10702,31,8
2311.10538,9,1
2311.10111,25,3
2311.10125,10,0
2311.10775,1,0
2311.10678,22,9
2311.10126,15,1
2311.10123,1,0
2311.10642,0,0
2311.10708,7,2
2311.10794,9,1
2311.11315,18,5
2311.10751,57,4
2311.11243,35,3
2311.10768,3,1
2311.11284,7,0
2311.11077,10,3
2311.12022,9,6
2311.11501,9,0
2311.11829,38,8
2311.10982,21,2
2311.11045,12,4
2311.10770,4,0
2311.12015,2,1
2311.11255,81,15
2311.12024,43,6
2311.12631,7,1
2311.12198,8,0
2311.12092,18,6
2311.12454,2,0
2311.12229,6,2
2311.12775,3,0
2311.12052,10,2
2311.13141,7,2
2311.13435,25,2
2311.13601,68,14
2311.13231,19,1
2311.13600,28,7
2311.12908,68,8
2311.13384,4,0
2311.13073,16,1
2311.12983,15,4
2312.00164,15,5
2312.00330,81,16
2312.00438,13,3
2312.00575,6,1
2312.00079,28,3
2312.00589,25,2
2312.00763,13,5
2312.00777,118,18
2312.00738,40,5
2312.00093,15,4
2312.00375,12,2
2312.00085,15,1
2312.00252,15,3
2312.00109,108,7
2312.00752,11,2
2312.00849,57,5
2312.00210,6,1
2312.00063,3,0
2312.00451,33,3
2312.02135,15,8
2312.01409,28,3
2312.02206,12,3
2312.00860,23,3
2312.02980,108,8
2312.01279,15,3
2312.02179,6,1
2312.02149,15,4
2312.01407,15,2
2312.02147,25,3
2312.01531,5,2
2312.01663,13,1
2312.01532,4,1
2312.02189,2,0
2312.02931,5,1
2312.02133,22,5
2312.00886,13,1
2312.02142,25,7
2312.02116,8,3
2312.02120,20,2
2312.00845,10,0
2312.02663,54,8
2312.00858,46,1
2312.02087,57,6
2312.00869,34,9
2312.01552,67,9
2312.02974,44,6
2312.02139,45,3
2312.02969,17,1
2312.02949,68,15
2312.02155,10,4
2312.02919,29,3
2312.02928,41,4
2312.02216,6,3
2312.03632,3,0
2312.02772,8,3
2312.03587,39,12
2312.02970,28,8
2312.02963,8,2
2312.02981,15,5
2312.03664,5,1
2312.02238,69,14
2312.03079,11,1
2312.03209,20,3
2312.03700,113,19
2312.03704,14,3
2312.02696,3,0
2312.02201,29,5
2312.02432,28,4
2312.03160,15,4
2312.03611,52,2
2312.03849,7,2
2312.04515,1,0
2312.03701,5,2
2312.04552,7,3
2312.03047,81,17
2312.04556,1,1
