arxiv_id_clean,cohort_day,day_total,day_count,own_kw_cell_sum,Z1p_kw,Zc_kw,Zown_loo_kw,kw_cell_size,kw_singleton
2408.06273,2024-08-14,336,15,34,5.713732805509369,2.5649493574615367,3.2188758248682006,3,0
2408.06281,2024-08-14,336,15,9,5.793013608384144,2.70805020110221,0.0,1,1
2408.06396,2024-08-14,336,15,34,5.713732805509369,2.5649493574615367,3.295836866004329,3,0
2408.06481,2024-08-14,336,15,25,5.7430031878094825,2.6390573296152584,2.772588722239781,2,0
2408.06506,2024-08-14,336,15,19,5.762051382780177,2.6390573296152584,2.4849066497880004,2,0
2408.06663,2024-08-14,336,15,34,5.713732805509369,2.5649493574615367,2.9444389791664403,3,0
2408.06693,2024-08-14,336,15,19,5.762051382780177,2.6390573296152584,2.1972245773362196,2,0
2408.06697,2024-08-14,336,15,25,5.7430031878094825,2.6390573296152584,2.3978952727983707,2,0
2408.06793,2024-08-14,336,15,38,5.700443573390687,2.6390573296152584,1.9459101490553132,2,0
2408.06941,2024-08-14,336,15,32,5.720311776607412,2.70805020110221,0.0,1,1
2408.07009,2024-08-14,336,15,69,5.5909869805108565,2.6390573296152584,2.0794415416798357,2,0
2408.07055,2024-08-14,336,15,110,5.424950017481403,2.6390573296152584,3.7376696182833684,2,0
2408.07060,2024-08-14,336,15,110,5.424950017481403,2.6390573296152584,4.248495242049359,2,0
2408.05366,2024-08-15,114,8,23,4.5217885770490405,1.9459101490553132,2.302585092994046,2,0
2408.07089,2024-08-15,114,8,14,4.61512051684126,2.0794415416798357,0.0,1,1
2408.07116,2024-08-15,114,8,40,4.31748811353631,1.791759469228055,3.044522437723423,3,0
2408.07246,2024-08-15,114,8,22,4.532599493153256,2.0794415416798357,0.0,1,1
2408.07410,2024-08-15,114,8,15,4.605170185988092,2.0794415416798357,0.0,1,1
2408.07416,2024-08-15,114,8,40,4.31748811353631,1.791759469228055,3.5263605246161616,3,0
2408.07540,2024-08-15,114,8,40,4.31748811353631,1.791759469228055,3.332204510175204,3,0
2408.07547,2024-08-15,114,8,23,4.5217885770490405,1.9459101490553132,2.70805020110221,2,0
2408.07852,2024-08-16,240,12,40,5.303304908059076,2.302585092994046,3.2188758248682006,3,0
2408.07990,2024-08-16,240,12,37,5.318119993844216,2.3978952727983707,3.1354942159291497,2,0
2408.08000,2024-08-16,240,12,9,5.44673737166631,2.4849066497880004,0.0,1,1
2408.08019,2024-08-16,240,12,11,5.438079308923196,2.4849066497880004,0.0,1,1
2408.08072,2024-08-16,240,12,96,4.976733742420574,2.3978952727983707,4.143134726391533,2,0
2408.08152,2024-08-16,240,12,96,4.976733742420574,2.3978952727983707,3.5553480614894135,2,0
2408.08172,2024-08-16,240,12,23,5.384495062789089,2.4849066497880004,0.0,1,1
2408.08189,2024-08-16,240,12,40,5.303304908059076,2.302585092994046,3.1780538303479458,3,0
2408.08201,2024-08-16,240,12,37,5.318119993844216,2.3978952727983707,2.772588722239781,2,0
2408.08274,2024-08-16,240,12,24,5.37989735354046,2.3978952727983707,2.4849066497880004,2,0
2408.08291,2024-08-16,240,12,24,5.37989735354046,2.3978952727983707,2.6390573296152584,2,0
2408.08313,2024-08-16,240,12,40,5.303304908059076,2.302585092994046,3.5263605246161616,3,0
