arxiv_id_clean,title,published_v1,n_authors,primary_category,all_categories,abstract_n_chars,strat_month,strat_cat
2306.00418,Uncertainty-Aware Unlikelihood Learning Improves Generative Aspect Sentiment Quad Prediction,2023-06-01T07:49:06Z,8,cs.CL,cs.CL; cs.AI,1088,2023-06,cs.CL
2306.00424,End-to-end Knowledge Retrieval with Multi-modal Queries,2023-06-01T08:04:12Z,5,cs.CL,cs.CL; cs.CV; cs.IR,988,2023-06,cs.CL
2306.00434,"Divide, Conquer, and Combine: Mixture of Semantic-Independent Experts for Zero-Shot Dialogue State Tracking",2023-06-01T08:21:20Z,8,cs.CL,cs.CL,1064,2023-06,cs.CL
2306.00435,How Many Answers Should I Give? An Empirical Study of Multi-Answer Reading Comprehension,2023-06-01T08:22:21Z,6,cs.CL,cs.CL,1078,2023-06,cs.CL
2306.00437,Responsibility Perspective Transfer for Italian Femicide News,2023-06-01T08:27:00Z,4,cs.CL,cs.CL,950,2023-06,cs.CL
2306.00445,A big data approach towards sarcasm detection in Russian,2023-06-01T08:34:26Z,3,cs.CL,cs.CL; cs.AI,674,2023-06,cs.CL
2306.00458,Exploring Anisotropy and Outliers in Multilingual Language Models for Cross-Lingual Semantic Sentence Similarity,2023-06-01T09:01:48Z,4,cs.CL,cs.CL,1301,2023-06,cs.CL
2306.00477,Make Pre-trained Model Reversible: From Parameter to Memory Efficient Fine-Tuning,2023-06-01T09:26:17Z,3,cs.CL,cs.CL; cs.AI; cs.LG,1639,2023-06,cs.CL
2306.00480,Parallel Neurosymbolic Integration with Concordia,2023-06-01T09:30:24Z,3,cs.AI,cs.AI; cs.CL,845,2023-06,cs.CL
2306.00482,Inspecting Spoken Language Understanding from Kids for Basic Math Learning at Home,2023-06-01T09:31:57Z,4,cs.CY,cs.CY; cs.CL; cs.SD; eess.AS; math.HO,1280,2023-06,cs.CL
2306.00502,Revisiting Event Argument Extraction: Can EAE Models Learn Better When Being Aware of Event Co-occurrences?,2023-06-01T09:53:53Z,3,cs.CL,cs.CL; cs.AI,1110,2023-06,cs.CL
